web-scraper-order,web-scraper-start-url,album_link,album_link-href,download_link,download_link-href,artist,title
"1648561590-121","https://pandacd.io/index.php?order_by=seeders&page=15","","https://pandacd.io/release/111-underground-jazz/","Download","https://pandacd.io/index.php?p=release&action=download&id=203","Marvu","Marvu – Underground Jazz [2010] [EP]"
"1648561672-158","https://pandacd.io/index.php?order_by=seeders&page=14","","https://pandacd.io/release/16-turning/","Download","https://pandacd.io/index.php?p=release&action=download&id=33","Is World","Is World – Turning [2010] [EP]"
"1648561586-119","https://pandacd.io/index.php?order_by=seeders&page=15","","https://pandacd.io/release/116-and-stars-collide/","Download","https://pandacd.io/index.php?p=release&action=download&id=214","...And Stars Collide","...And Stars Collide – ...And Stars Collide [2008] [EP]"
"1648561565-110","https://pandacd.io/index.php?order_by=seeders&page=16","","https://pandacd.io/release/134-sun/","Download","https://pandacd.io/index.php?p=release&action=download&id=246","Sadsic","Sadsic – [sun] [2009] [EP]"
"1648561949-278","https://pandacd.io/index.php?order_by=seeders&page=9","","https://pandacd.io/release/210-rome/","Download","https://pandacd.io/index.php?p=release&action=download&id=420","Boreals","Boreals – Rome [2011] [EP]"
"1648561813-218","https://pandacd.io/index.php?order_by=seeders&page=11","","https://pandacd.io/release/345-yr-sucha-deck/","Download","https://pandacd.io/index.php?p=release&action=download&id=721","Decks","Decks – Yr Sucha Deck [2011] [EP]"
"1648561765-197","https://pandacd.io/index.php?order_by=seeders&page=12","","https://pandacd.io/release/376-seatraffic/","Download","https://pandacd.io/index.php?p=release&action=download&id=813","Seatraffic","Seatraffic – Seatraffic [2011] [EP]"
"1648561947-277","https://pandacd.io/index.php?order_by=seeders&page=9","","https://pandacd.io/release/211-awake-in-sleep/","Download","https://pandacd.io/index.php?p=release&action=download&id=423","Awake in Sleep","Awake in Sleep – Awake in Sleep [2011] [EP]"
"1648561883-250","https://pandacd.io/index.php?order_by=seeders&page=10","","https://pandacd.io/release/255-belly-of-the-beast/","Download","https://pandacd.io/index.php?p=release&action=download&id=537","Howth","Howth – Belly of the Beast [2011] [Single]"
"1648562053-303","https://pandacd.io/index.php?order_by=seeders&page=8","","https://pandacd.io/release/156-in-june-stems/","Download","https://pandacd.io/index.php?p=release&action=download&id=293","Casey LaLonde","Casey LaLonde – In June (Stems) [2010] [Stems]"
"1648561763-196","https://pandacd.io/index.php?order_by=seeders&page=12","","https://pandacd.io/release/377-everything-was/","Download","https://pandacd.io/index.php?p=release&action=download&id=816","Efflorescent","Efflorescent – Everything Was [2011] [EP]"
"1648561901-258","https://pandacd.io/index.php?order_by=seeders&page=10","","https://pandacd.io/release/239-live-on-903-krnu/","Download","https://pandacd.io/index.php?p=release&action=download&id=502","Great American Desert","Great American Desert – Live on 90.3 KRNU [2011] [Live album]"
"1648562049-301","https://pandacd.io/index.php?order_by=seeders&page=8","","https://pandacd.io/release/158-seasons-part-1/","Download","https://pandacd.io/index.php?p=release&action=download&id=299","The Echelon Effect","The Echelon Effect – Seasons Part 1 [2011] [Album]"
"1648561868-243","https://pandacd.io/index.php?order_by=seeders&page=10","","https://pandacd.io/release/285-skeletons/","Download","https://pandacd.io/index.php?p=release&action=download&id=588","Crystal Boys","Crystal Boys – Skeletons [2011] [Album]"
"1648561601-126","https://pandacd.io/index.php?order_by=seeders&page=15","","https://pandacd.io/release/74-somnolence/","Download","https://pandacd.io/index.php?p=release&action=download&id=149","Zhe Nhir","Zhe Nhir – Somnolence [2009] [EP]"
"1648562096-321","https://pandacd.io/index.php?order_by=seeders&page=7","","https://pandacd.io/release/728-horizons/","Download","https://pandacd.io/index.php?p=release&action=download&id=1715","Panda Dub","Panda Dub – Horizons [2019] [Album]"
"1648561627-138","https://pandacd.io/index.php?order_by=seeders&page=15","","https://pandacd.io/release/53-headgeared/","Download","https://pandacd.io/index.php?p=release&action=download&id=114","Nobody Wave","Nobody Wave – Headgeared [2010] [Album]"
"1648561648-147","https://pandacd.io/index.php?order_by=seeders&page=14","","https://pandacd.io/release/41-wilderness/","Download","https://pandacd.io/index.php?p=release&action=download&id=89","Josh Mease","Josh Mease – Wilderness [2009] [Album]"
